{-40,80,0},
{-20,80,0},
{0,80,0},
{20,80,0},
{40,80,0},
{-60,60,0},
{-40,60,0},
{-20,60,0},
{0,60,0},
{20,60,0},
{40,60,0},
{60,60,0},
{-80,40,0},
{-60,40,0},
{-40,40,0},
{-20,40,0},
{0,40,0},
{20,40,0},
{40,40,0},
{60,40,0},
{80,40,0},
{-80,20,0},
{-60,20,0},
{-40,20,0},
{-20,20,0},
{0,20,0},
{20,20,0},
{40,20,0},
{60,20,0},
{80,20,0},
{-80,00,0},
{-60,00,0},
{-40,00,0},
{-20,00,0},
{0,00,0},
{20,00,0},
{40,00,0},
{60,00,0},
{80,00,0},
{-80,-20,0},
{-60,-20,0},
{-40,-20,0},
{-20,-20,0},
{0,-20,0},
{20,-20,0},
{40,-20,0},
{60,-20,0},
{80,-20,0},
{-80,-40,0},
{-60,-40,0},
{-40,-40,0},
{-20,-40,0},
{0,-40,0},
{20,-40,0},
{40,-40,0},
{60,-40,0},
{80,-40,0},
{-60,-60,0},
{-40,-60,0},
{-20,-60,0},
{0,-60,0},
{20,-60,0},
{40,-60,0},
{60,-60,0},
{-40,-80,0},
{-20,-80,0},
{0,-80,0},
{20,-80,0},
{40,-80,0},
{30,10,0},
{27.75,-9.25,-66},
{27.75,-27.75,-66},
{-9.25,-27.75,-66},
{-30,-10,0},
{-10,30,0},
{9.25,27.75,-66}
